Filename,Avg_Posture_Deviation,Avg_Head_Movement_Magnitude,Sentiment,Speaker,Utterance,Avg_Raw_Pos_X,Avg_Raw_Pos_Y,Avg_Raw_Pos_Z,Avg_Head_Tilt,Avg_Head_Roll,Avg_Head_Pitch
dia445_utt7.mp4,0.1270256,0.0060454686,positive,Rachel,Really?!,0.44635078,0.27725857,-0.382358,29.795477,-134.72412,-165.4379
dia445_utt8.mp4,0.042741973,0.048039585,positive,Dr. Green,What is it sweetie?,0.49121866,0.4475897,-0.24859655,7.318745,-137.49976,-61.889244
dia445_utt9.mp4,0.039102174,0.010672797,negative,Rachel,There’s not gonna be a wedding. Ross and I are not getting married.,0.63814855,0.35728166,-0.52028435,7.25765,-149.3623,-124.63399
dia446_utt0.mp4,0.023347994,0.02492639,positive,Phoebe,"So, you’re like a zillionaire?",0.7510495,0.61850613,-0.26156628,6.284959,-156.78064,-95.33846
dia446_utt1.mp4,0.04816274,0.0069982735,positive,Chandler,And you’re our age. You’re our age.,0.5308375,0.33117273,-0.25952664,-12.582056,-139.57088,168.09668
dia446_utt10.mp4,0.049459994,0.051164486,positive,Chandler,You’re our age!,0.44645998,0.5331204,-0.20402221,-15.781202,-154.9596,62.65745
dia446_utt11.mp4,0.034696795,0.036957044,neutral,Pete,"So ah, we on for tomorrow?",0.4392882,0.21368344,-0.09079157,17.23859,-117.95035,130.77629
dia446_utt12.mp4,0.011196256,0.0075623323,positive,Monica,Absolutely!,0.3810072,0.22676179,-0.15513368,-9.049731,-135.1109,153.40715
dia446_utt13.mp4,0.067560226,0.045194115,positive,Monica,Now get out of here you!!,0.6207504,0.42241082,-0.30911744,19.412424,-142.96744,-141.20999
dia446_utt14.mp4,0.052866504,0.0070678922,negative,Monica,"Okay, I’m running out of places I can touch him!",0.18815434,0.3846365,-0.03640919,-56.524357,-108.98733,116.45127
dia446_utt15.mp4,0.060234185,0.0029346587,negative,Monica,"Look, is there something wrong with me?",0.22553043,0.36677223,-0.10261072,-55.219673,-138.24655,153.24335
dia446_utt16.mp4,0.044034008,0.03676844,negative,Monica,I mean why am I only attracted to guys where there’s no future?,0.49286166,0.35892966,-0.77899927,10.0491705,-167.37102,-150.47864
dia446_utt17.mp4,0.026195157,0.014748985,negative,Monica,"Either they’re too old, or they’re too young, and then there’s Pete who’s-who’s crazy about me, and who’s absolutely perfect for me, and there’s like zip going on!",0.6253198,0.3137565,-0.4827674,7.510836,-154.92815,-28.929876
dia446_utt18.mp4,0.034431107,0.025041921,negative,Monica,"I mean, seriously, does it sound like something’s wrong with me?",0.5108943,0.3131578,-0.36392033,-31.232347,-140.28105,-32.247467
dia446_utt19.mp4,0.03906507,0.06585969,neutral,Ross and Joey,No.,0.3964305,0.3997123,-0.3616466,-27.42823,-159.91505,-71.45622
dia446_utt2.mp4,0.04532011,0.028527625,neutral,Phoebe,"Y'know what, you should like, you should buy a state and then just name it after yourself.",0.4725794,0.36250505,-0.019217277,20.612223,-97.70005,28.288256
dia446_utt3.mp4,0.12524474,0.007357669,neutral,Pete,What like Pete Dakota?,0.5292451,0.31032935,-0.82649654,38.51031,-173.21753,75.66374
dia446_utt4.mp4,0.14644372,0.061821513,neutral,Phoebe,"Yeah, or, or, or, Mississ-Pete.",0.6170935,0.33422345,-0.46411538,42.176323,-162.2818,75.70532
dia446_utt5.mp4,0.028234325,0.019744186,neutral,Joey,"Oh, oh, I got it! Pete-Chicago.",0.46665135,0.3069981,-0.34267527,-5.985193,-138.40172,-45.997726
dia446_utt6.mp4,0.09457065,0.0057249647,neutral,Chandler,That’s not a state Joe.,0.372524,0.31502807,-0.12136895,-81.538895,-126.692184,133.22632
dia446_utt7.mp4,0.03881042,0.02695518,neutral,Joey,"Oh, and Mississ-Pete is?",0.4727129,0.34414703,-0.44533893,-19.984232,-146.27867,157.75948
dia446_utt8.mp4,0.0180822,0.026167057,neutral,Pete,"I got to go, so ah, I’ll see you guys later.",0.5122647,0.3539729,-0.43847197,-0.3139847,-134.27197,-119.39025
dia446_utt9.mp4,0.021874985,0.07413582,neutral,All,Okay.,0.37688792,0.47717422,-0.24799398,-5.5452514,-153.8391,19.239443
dia447_utt0.mp4,0.018063372,0.049527142,neutral,Phoebe,"Okay, I’m gonna go get Frank.",0.5809092,0.33362326,-0.37779388,1.9042703,-145.52484,165.7016
dia447_utt1.mp4,0.018172476,0.0118536865,neutral,Joey,"So, we’re walking down the street and I turn to you and I say, “Hey, let’s go hang out at Totally Nude Nudes,” remember?",0.54494977,0.27122927,-0.08280178,-5.9177113,-110.22207,-71.88237
dia447_utt2.mp4,0.04331049,0.004973333,positive,Joey,"And then, and then, you turn to me and say, “Nah, let’s just hang out at your place.” Well, that was a nice move dumb ass.",0.62347144,0.26887512,-0.07481316,-12.908491,-109.52112,59.01344
dia448_utt0.mp4,0.031004809,0.035303857,neutral,Phoebe,"Yeah, I think it was better when you guys were sad. Hey, uh, remember the roller blades?",0.67838645,0.42248455,-0.37758073,4.339623,-161.82724,35.093925
dia448_utt1.mp4,0.024174685,0.025864324,negative,Rachel,You know what else I’m not gonna miss?,0.48727998,0.42266354,-0.70483154,10.641747,-162.729,-6.104051
dia448_utt10.mp4,0.017564004,0.007866165,negative,Rachel,"So I guess I’ll just stumble across the hall and sleep with the first guy I find in there!""",0.4654677,0.27823678,-0.58729887,-5.5938606,-157.60689,71.51316
dia448_utt11.mp4,0.018650388,0.018317208,neutral,Phoebe,"Yeah, we should get a move on if we wanna make those dinner reservations.",0.5918903,0.60901976,-0.31597772,-4.414169,-155.25003,63.690395
dia448_utt2.mp4,0.05958279,0.008050982,negative,Rachel,"""I’m Monica.",0.50472,0.49940103,-0.9698889,-16.92,-175.69138,178.21457
dia448_utt3.mp4,0.022705898,0.034305923,negative,Rachel,I wash the toilet 17 times a day.,0.50345933,0.3387088,-0.5668654,-7.8370485,-158.66833,173.481
dia448_utt4.mp4,0.010009342,0.016476627,negative,Rachel,"Even if people are on it!""",0.48211128,0.3213857,-0.67510587,-3.2133236,-161.45007,18.909891
dia448_utt5.mp4,0.02201963,0.01614595,negative,Monica,"""Hi I’m Rachel, is my sweater too tight? No? Oh, I’d better wash it and shrink it!""",0.45074272,0.25641534,-0.54754984,-5.41175,-156.13553,146.32407
dia448_utt6.mp4,0.014949119,0.013623027,negative,Rachel,"""I’m Monica, I don’t get phone messages from interesting people. Ever!""",0.50450283,0.30327556,-0.5738254,-4.392943,-157.38795,31.644934
dia448_utt7.mp4,0.0071774805,0.083723,positive,Phoebe,Hey! I call her!,0.49876493,0.41081345,-0.45958656,-2.0143695,-160.6429,-123.72917
dia448_utt8.mp4,0.026490232,0.0178976,negative,Monica,"""Oh my God, I love Ross! I hate Ross! I love Ross! I hate Ross!""",0.43650138,0.28148147,-0.44528207,-6.928184,-154.21288,148.55826
dia448_utt9.mp4,0.036319837,0.009733793,negative,Rachel,"""Oh my God, I can’t find a boyfriend!",0.47652358,0.31723455,-0.29947343,-13.861251,-145.29689,168.91917
dia449_utt0.mp4,0.01992286,0.004554511,neutral,Ross,"Item J437-A, color: winterberry.",0.49620536,0.3612983,-0.9746468,4.0723863,-166.37616,105.43834
dia449_utt1.mp4,0.040505767,0.028411902,neutral,Ross,"Hi umm, listen come here, come in.",0.4491612,0.33707446,-0.58047223,-8.300877,-154.79425,120.449036
dia449_utt10.mp4,0.044414937,0.010962938,negative,Mona,"It’s too complicated with you and Rachel and the baby, I-I just… It just wasn’t meant to be.",0.45489794,0.31125215,-0.3897191,-9.273639,-144.7659,86.82087
dia449_utt11.mp4,0.011444079,0.006393685,positive,Ross,Oh God you’re right.,0.5360562,0.2888683,-0.4021842,1.268276,-142.08286,-176.09302
dia449_utt12.mp4,0.023937821,0.037351027,negative,Mona,"Ross, we…we have to be strong. Okay, I-I’m gonna go.  Can I? To remember you?",0.5521974,0.33395866,-0.4314462,0.6132129,-148.68098,-93.27675
dia449_utt13.mp4,0.041054767,0.017610094,neutral,Ross,No.,0.46070597,0.30715334,-0.54046094,-8.852761,-152.60371,-98.81676
dia449_utt2.mp4,0.02113572,0.034175385,negative,Ross,I’m so-so sorry about yesterday.,0.47600555,0.35394984,-0.466617,0.35687298,-153.26405,-119.39182
dia449_utt3.mp4,0.029702997,0.018730821,negative,Ross,I-I’m really sorry.,0.4481778,0.31328258,-0.54625845,-6.2610664,-155.42989,175.963
dia449_utt4.mp4,0.032928742,0.033476505,positive,Ross,It’s just that I,0.45091292,0.290629,-0.4725989,-7.6154146,-150.29524,104.348335
dia449_utt5.mp4,0.032604758,0.007856371,neutral,Mona,"Listen Ross, you don’t have to apologize. I understand why you were there.",0.38020265,0.28264093,-0.42568722,-18.324308,-148.72089,169.10854
dia449_utt6.mp4,0.0037074883,0.0040402296,positive,Ross,You do?,0.5865213,0.32527584,-0.35876608,-0.10986093,-140.6906,-173.11551
dia449_utt7.mp4,0.05819328,0.021546343,negative,Mona,"Yeah, you still have feelings for me.",0.4342992,0.30727082,-0.43980956,-12.412456,-146.06038,77.405914
dia449_utt8.mp4,0.07955078,0.0049625966,positive,Mona,"And-and to be honest, I-I still have feelings for you.",0.43336722,0.2996053,-0.3928424,-17.246794,-144.33102,170.26067
dia449_utt9.mp4,0.03366281,0.004637363,negative,Mona,"And I wish that we can work it out Ross, but we can’t.",0.53599894,0.31772655,-0.3170774,-6.9362025,-136.85501,-172.97203
dia44_utt0.mp4,0.020692967,0.036416873,neutral,Charlie,"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",0.6233818,0.4165266,-0.143992,12.787129,-141.06221,-99.21255
dia44_utt1.mp4,0.010110457,0.0012747116,positive,Ross,"Yeah, that's it?",0.6383152,0.4078635,-0.10393414,7.782706,-154.56941,-158.25381
dia44_utt2.mp4,0.008908938,0.0013781853,neutral,Charlie,Yeah.,0.6358723,0.4063654,-0.089799814,6.6545773,-150.39384,-155.21014
dia450_utt0.mp4,0.001499923,0.002886489,neutral,Phoebe,"I’m telling you, if you want to take care of that thing, you should go to my herbal guy.",0.48804596,0.35008198,-0.55603313,-0.22192729,-172.36517,-178.46776
dia450_utt1.mp4,0.020744499,0.011200468,neutral,Ross,"Thank you, but I want to remove it Pheebs. I don’t want to make it savory.",0.3556069,0.31211326,-0.5007686,-1.778004,-158.07782,75.956314
dia450_utt10.mp4,0.009693982,0.006777822,positive,Monica,Right?,0.44028145,0.3909412,-0.41524512,-2.361745,-163.80972,-151.58531
dia450_utt11.mp4,0.03405665,0.007992289,positive,Monica,"I mean I’m-I’m crazy about Pete, and I know that we want the same things, and when I thought about saying yes, it made me really happy.",0.4849496,0.3679509,-0.30975354,5.16422,-148.26404,-126.27235
dia450_utt12.mp4,0.016180456,0.0072673964,positive,Rachel,Oh my God.,0.29650345,0.2850597,-0.21829748,-5.102021,-142.71979,99.971146
dia450_utt13.mp4,0.038712285,0.044149466,neutral,Monica,I know.  I need more pie.,0.510057,0.3897554,-0.29546356,-3.370777,-148.927,116.281204
dia450_utt14.mp4,0.035967514,0.0342206,neutral,Phoebe,"Hey Mon umm, if you do get married, can I bring two guests?",0.3695166,0.34794262,-0.38287047,-11.4667635,-150.6148,77.33452
dia450_utt15.mp4,0.009343909,0.010024535,negative,Rachel,You didn’t break up with that fireman?,0.6828978,0.35938567,-0.5780605,0.1309402,-164.05843,139.80579
dia450_utt16.mp4,0.0063675195,0.0035060053,neutral,Phoebe,"No, that was my way of telling you.",0.36882362,0.284366,-0.51870847,1.6891116,-163.38065,35.897205
dia450_utt17.mp4,0.0264191,0.0033254193,neutral,Phoebe,"Well, it turns out he’s incredibly sensitive, he keeps a journal and he paints.",0.27685648,0.27574074,0.03463549,-32.442425,-66.64416,64.41522
dia450_utt18.mp4,0.016287358,0.017077114,neutral,Phoebe,He even showed me charcoal drawings that he drew of me.,0.3375985,0.27184775,-0.6644577,2.6660857,-164.61806,-112.26686
dia450_utt19.mp4,0.013147521,0.007939508,positive,Rachel,Wow!,0.37353832,0.2811423,-0.40067324,4.0186872,-156.30074,107.34722
dia450_utt2.mp4,0.013560302,0.0065211034,neutral,Monica,"Y'know when girls sleep with guys with weird things on their body, they tell their friends about it.",0.27260944,0.31662247,-0.3498262,-1.9982301,-160.89612,-173.97221
dia450_utt20.mp4,0.05690207,0.009859276,neutral,Phoebe,"Yeah, well he’d prefer water colors, but y'know, he has easy access to a lot of charcoal.",0.34476548,0.27637923,-0.40689436,19.828377,-154.49776,-157.09236
dia450_utt21.mp4,0.08387315,0.008931989,neutral,Monica,"So then, are you going to dump Jason?",0.5195819,0.34911335,-0.7945755,18.34544,-164.06046,177.41058
dia450_utt22.mp4,0.05016334,0.012011002,neutral,Phoebe,"Well, yeah, because I have to break up with someone, and… Okay so Jason is sensitive,  but now so’s Vince  Plus, Vince has the body y'know?",0.47810096,0.36283836,-0.30004823,-8.988928,-142.33136,165.2508
dia450_utt23.mp4,0.06652074,0.048207816,neutral,Phoebe,So… It’s really just about the math.,0.55372155,0.35958302,-0.2596673,5.530327,-146.71738,-88.916534
dia450_utt3.mp4,0.021435576,0.051736824,neutral,Ross,Gimme this.,0.5441152,0.3501547,-0.34073246,8.012331,-118.20001,21.007277
dia450_utt4.mp4,0.015515712,0.034620587,neutral,Rachel,"Hi! Okay, don’t be mad at me, but I couldn’t resist.",0.6167536,0.2651136,-0.32267684,4.8995886,-160.9192,-26.213747
dia450_utt5.mp4,0.02660335,0.008653531,positive,Monica,Brides magazines?,0.59625703,0.4074542,-0.64725935,-10.9772415,-171.44057,-177.69714
dia450_utt6.mp4,0.015136142,0.004517173,neutral,Rachel,"Yes, and I know that you’d say no if he asked you, but I’m sorry; how great would you look walking down the aisle in this Donna Carin.",0.6126922,0.39921716,-0.4609931,-2.9603014,-159.43198,-139.89172
